pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
29.245, 1.01558381e-01, 3.25735587e-05, 3.20484105e+03
29.255, 1.01603725e-01, 3.25756114e-05, 3.20470290e+03
29.265, 1.01649088e-01, 3.25776655e-05, 3.20456470e+03
29.275, 1.01694459e-01, 3.25797205e-05, 3.20442650e+03
29.285, 1.01739841e-01, 3.25817766e-05, 3.20428828e+03
29.295, 1.01785232e-01, 3.25838337e-05, 3.20415004e+03
29.305, 1.01830633e-01, 3.25858917e-05, 3.20401180e+03
29.315, 1.01876043e-01, 3.25879508e-05, 3.20387354e+03
29.325, 1.01921462e-01, 3.25900108e-05, 3.20373526e+03
29.335, 1.01966883e-01, 3.25920714e-05, 3.20359700e+03
29.345, 1.02012322e-01, 3.25941334e-05, 3.20345870e+03
29.355, 1.02057770e-01, 3.25961964e-05, 3.20332038e+03
29.365, 1.02103228e-01, 3.25982604e-05, 3.20318205e+03
29.375, 1.02148696e-01, 3.26003254e-05, 3.20304371e+03
29.385, 1.02194173e-01, 3.26023914e-05, 3.20290535e+03
29.395, 1.02239660e-01, 3.26044584e-05, 3.20276698e+03
29.405, 1.02285156e-01, 3.26065264e-05, 3.20262860e+03
29.415, 1.02330662e-01, 3.26085953e-05, 3.20249020e+03
29.425, 1.02376169e-01, 3.26106649e-05, 3.20235182e+03
29.435, 1.02421694e-01, 3.26127359e-05, 3.20221339e+03
29.445, 1.02467229e-01, 3.26148078e-05, 3.20207496e+03
29.455, 1.02512774e-01, 3.26168808e-05, 3.20193650e+03
29.465, 1.02558328e-01, 3.26189547e-05, 3.20179804e+03
29.475, 1.02603891e-01, 3.26210296e-05, 3.20165956e+03
29.485, 1.02649464e-01, 3.26231056e-05, 3.20152107e+03
29.495, 1.02695047e-01, 3.26251825e-05, 3.20138256e+03
29.505, 1.02740631e-01, 3.26272600e-05, 3.20124407e+03
29.515, 1.02786233e-01, 3.26293390e-05, 3.20110554e+03
29.525, 1.02831845e-01, 3.26314189e-05, 3.20096699e+03
29.535, 1.02877466e-01, 3.26334998e-05, 3.20082843e+03
29.545, 1.02923097e-01, 3.26355817e-05, 3.20068986e+03
29.555, 1.02968737e-01, 3.26376647e-05, 3.20055127e+03
29.565, 1.03014388e-01, 3.26397486e-05, 3.20041267e+03
29.575, 1.03060047e-01, 3.26418335e-05, 3.20027405e+03
29.585, 1.03105708e-01, 3.26439190e-05, 3.20013545e+03
29.595, 1.03151387e-01, 3.26460060e-05, 3.19999681e+03
29.605, 1.03197076e-01, 3.26480939e-05, 3.19985816e+03
29.615, 1.03242774e-01, 3.26501828e-05, 3.19971949e+03
29.625, 1.03288482e-01, 3.26522727e-05, 3.19958081e+03
29.635, 1.03334200e-01, 3.26543637e-05, 3.19944211e+03
29.645, 1.03379927e-01, 3.26564556e-05, 3.19930340e+03
29.655, 1.03425664e-01, 3.26585485e-05, 3.19916468e+03
29.665, 1.03471411e-01, 3.26606425e-05, 3.19902594e+03
29.675, 1.03517158e-01, 3.26627370e-05, 3.19888722e+03
29.685, 1.03562924e-01, 3.26648329e-05, 3.19874846e+03
29.695, 1.03608700e-01, 3.26669299e-05, 3.19860968e+03
29.705, 1.03654485e-01, 3.26690278e-05, 3.19847089e+03
29.715, 1.03700280e-01, 3.26711268e-05, 3.19833209e+03
29.725, 1.03746084e-01, 3.26732267e-05, 3.19819327e+03
29.735, 1.03791898e-01, 3.26753277e-05, 3.19805444e+03
29.745, 1.03837722e-01, 3.26774297e-05, 3.19791559e+03
29.755, 1.03883547e-01, 3.26795322e-05, 3.19777676e+03
29.765, 1.03929390e-01, 3.26816362e-05, 3.19763789e+03
29.775, 1.03975243e-01, 3.26837412e-05, 3.19749901e+03
29.785, 1.04021106e-01, 3.26858472e-05, 3.19736011e+03
29.795, 1.04066978e-01, 3.26879542e-05, 3.19722120e+03
29.805, 1.04112860e-01, 3.26900622e-05, 3.19708227e+03
29.815, 1.04158752e-01, 3.26921712e-05, 3.19694333e+03
29.825, 1.04204653e-01, 3.26942812e-05, 3.19680438e+03
29.835, 1.04250555e-01, 3.26963919e-05, 3.19666544e+03
29.845, 1.04296476e-01, 3.26985039e-05, 3.19652646e+03
29.855, 1.04342406e-01, 3.27006170e-05, 3.19638747e+03
29.865, 1.04388346e-01, 3.27027310e-05, 3.19624847e+03
29.875, 1.04434296e-01, 3.27048461e-05, 3.19610945e+03
29.885, 1.04480256e-01, 3.27069622e-05, 3.19597041e+03
29.895, 1.04526225e-01, 3.27090793e-05, 3.19583137e+03
29.905, 1.04572204e-01, 3.27111974e-05, 3.19569231e+03
29.915, 1.04618192e-01, 3.27133165e-05, 3.19555324e+03
29.925, 1.04664182e-01, 3.27154362e-05, 3.19541418e+03
29.935, 1.04710190e-01, 3.27175573e-05, 3.19527508e+03
29.945, 1.04756208e-01, 3.27196795e-05, 3.19513596e+03
29.955, 1.04802235e-01, 3.27218026e-05, 3.19499684e+03
29.965, 1.04848273e-01, 3.27239268e-05, 3.19485770e+03
29.975, 1.04894319e-01, 3.27260520e-05, 3.19471854e+03
29.985, 1.04940376e-01, 3.27281782e-05, 3.19457938e+03
29.995, 1.04986442e-01, 3.27303054e-05, 3.19444019e+03
30.005, 1.05032510e-01, 3.27324332e-05, 3.19430103e+03
30.015, 1.05078596e-01, 3.27345624e-05, 3.19416182e+03
30.025, 1.05124691e-01, 3.27366927e-05, 3.19402260e+03
30.035, 1.05170797e-01, 3.27388240e-05, 3.19388337e+03
30.045, 1.05216912e-01, 3.27409562e-05, 3.19374412e+03
30.055, 1.05263036e-01, 3.27430895e-05, 3.19360486e+03
30.065, 1.05309171e-01, 3.27452239e-05, 3.19346558e+03
30.075, 1.05355315e-01, 3.27473592e-05, 3.19332630e+03
30.085, 1.05401460e-01, 3.27494951e-05, 3.19318702e+03
30.095, 1.05447624e-01, 3.27516325e-05, 3.19304771e+03
30.105, 1.05493798e-01, 3.27537709e-05, 3.19290838e+03
30.115, 1.05539981e-01, 3.27559103e-05, 3.19276904e+03
30.125, 1.05586174e-01, 3.27580507e-05, 3.19262968e+03
30.135, 1.05632377e-01, 3.27601921e-05, 3.19249032e+03
30.145, 1.05678590e-01, 3.27623346e-05, 3.19235094e+03
30.155, 1.05724812e-01, 3.27644781e-05, 3.19221154e+03
30.165, 1.05771044e-01, 3.27666226e-05, 3.19207213e+03
30.175, 1.05817277e-01, 3.27687677e-05, 3.19193274e+03
30.185, 1.05863529e-01, 3.27709142e-05, 3.19179330e+03
30.195, 1.05909790e-01, 3.27730617e-05, 3.19165386e+03
30.205, 1.05956061e-01, 3.27752103e-05, 3.19151439e+03
30.215, 1.06002342e-01, 3.27773599e-05, 3.19137492e+03
30.225, 1.06048633e-01, 3.27795105e-05, 3.19123543e+03
30.235, 1.06094934e-01, 3.27816622e-05, 3.19109593e+03
30.245, 1.06141244e-01, 3.27838148e-05, 3.19095642e+03
30.255, 1.06187555e-01, 3.27859681e-05, 3.19081692e+03
30.265, 1.06233885e-01, 3.27881228e-05, 3.19067737e+03
30.275, 1.06280225e-01, 3.27902785e-05, 3.19053782e+03
30.285, 1.06326574e-01, 3.27924353e-05, 3.19039825e+03
30.295, 1.06372933e-01, 3.27945931e-05, 3.19025867e+03
30.305, 1.06419303e-01, 3.27967519e-05, 3.19011908e+03
30.315, 1.06465681e-01, 3.27989117e-05, 3.18997947e+03
30.325, 1.06512070e-01, 3.28010725e-05, 3.18983985e+03
30.335, 1.06558460e-01, 3.28032340e-05, 3.18970024e+03
30.345, 1.06604868e-01, 3.28053969e-05, 3.18956059e+03
30.355, 1.06651286e-01, 3.28075608e-05, 3.18942093e+03
30.365, 1.06697714e-01, 3.28097258e-05, 3.18928126e+03
30.375, 1.06744152e-01, 3.28118918e-05, 3.18914157e+03
30.385, 1.06790599e-01, 3.28140588e-05, 3.18900187e+03
30.395, 1.06837057e-01, 3.28162268e-05, 3.18886216e+03
30.405, 1.06883524e-01, 3.28183959e-05, 3.18872243e+03
30.415, 1.06930001e-01, 3.28205659e-05, 3.18858269e+03
30.425, 1.06976479e-01, 3.28227366e-05, 3.18844296e+03
30.435, 1.07022975e-01, 3.28249088e-05, 3.18830319e+03
30.445, 1.07069482e-01, 3.28270820e-05, 3.18816341e+03
30.455, 1.07115998e-01, 3.28292562e-05, 3.18802362e+03
30.465, 1.07162524e-01, 3.28314314e-05, 3.18788381e+03
30.475, 1.07209060e-01, 3.28336077e-05, 3.18774399e+03
30.485, 1.07255606e-01, 3.28357849e-05, 3.18760416e+03
30.495, 1.07302162e-01, 3.28379633e-05, 3.18746431e+03
30.505, 1.07348719e-01, 3.28401422e-05, 3.18732448e+03
30.515, 1.07395294e-01, 3.28423226e-05, 3.18718461e+03
30.525, 1.07441879e-01, 3.28445040e-05, 3.18704472e+03
30.535, 1.07488474e-01, 3.28466864e-05, 3.18690482e+03
30.545, 1.07535079e-01, 3.28488699e-05, 3.18676491e+03
30.555, 1.07581694e-01, 3.28510544e-05, 3.18662498e+03
30.565, 1.07628318e-01, 3.28532400e-05, 3.18648505e+03
30.575, 1.07674953e-01, 3.28554266e-05, 3.18634509e+03
